State  Recv-Q Send-Q               Local Address:Port  Peer Address:PortProcess
LISTEN 0      511                      127.0.0.1:6379       0.0.0.0:*          
LISTEN 0      4096                     127.0.0.1:8082       0.0.0.0:*          
LISTEN 0      4096                    127.0.0.54:53         0.0.0.0:*          
LISTEN 0      4096                 127.0.0.53%lo:53         0.0.0.0:*          
LISTEN 0      511                        0.0.0.0:80         0.0.0.0:*          
LISTEN 0      4096                       0.0.0.0:22         0.0.0.0:*          
LISTEN 0      4096                 100.94.30.114:62823      0.0.0.0:*          
LISTEN 0      80                       127.0.0.1:3306       0.0.0.0:*          
LISTEN 0      4096                     127.0.0.1:41665      0.0.0.0:*          
LISTEN 0      4096                          [::]:22            [::]:*          
LISTEN 0      511                          [::1]:6379          [::]:*          
LISTEN 0      4096   [fd7a:115c:a1e0::2001:1e87]:39545         [::]:*          
